Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
PolynomialRegression,97862.9688226167,15943712231.118664,0.8710043340375478
SGDRegressor,3.132015765130442e+16,1.5107273708361754e+33,-1.2222829944732616e+22
ANN,199091.6499109825,61392227989.175934,0.5032943884344807
RandomForest,98270.00476346175,14967839917.546867,0.8788998164169787
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,102160.92081000573,15943249530.43311,0.8710080776063108
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
